0.1	0	6	46	58	33	58	46	57	48	52	49	52	49	54
0.2	0	7	37	63	33	60	44	57	48	53	47	52	49	54
0.3	0	7	37	92	33	61	34	58	48	54	47	52	47	54
0.4	0	7	37	92	33	61	34	58	48	54	47	52	47	54
0.5	0	8	37	92	33	61	34	59	48	54	47	54	47	54
0.6	0	8	37	92	33	61	34	61	48	55	41	54	47	54
0.7	0	8	37	92	33	62	34	62	48	55	41	54	47	54
0.8	0	8	37	92	33	62	34	62	48	55	41	60	47	54
0.9	0	9	36	92	33	62	34	63	48	56	41	58	47	58
1.0	0	9	36	92	33	63	34	63	48	56	41	58	47	58
1.1	0	9	36	92	33	63	34	68	48	59	41	58	41	58
1.2	0	10	36	92	33	67	34	68	48	60	41	58	41	58
1.3	0	10	36	92	33	67	34	69	48	63	41	58	41	58
1.4	0	10	36	92	33	67	34	69	48	63	41	58	41	58
1.5	0	10	36	92	33	67	34	69	48	64	41	58	41	58
1.6	0	10	36	85	33	67	34	69	48	64	41	58	41	58
1.7	0	11	36	85	33	67	34	69	48	64	41	58	41	58
1.8	0	11	36	85	33	67	34	69	48	86	41	58	41	58
1.9	0	11	36	85	33	68	34	69	48	86	41	58	41	58
2.0	0	11	36	85	33	68	34	69	48	86	41	58	41	58
2.1	0	11	36	85	33	68	34	69	48	86	41	58	41	58
2.2	0	11	36	85	33	68	34	69	48	86	36	58	35	58
2.3	0	12	36	85	33	68	34	69	48	86	36	58	35	60
2.4	0	12	36	78	33	68	34	69	48	67	36	60	35	60
2.5	0	12	36	78	33	68	34	69	48	67	36	60	35	62
2.6	0	12	36	78	33	68	34	69	48	64	36	60	35	62
2.7	0	12	36	78	33	69	34	69	48	64	36	60	35	64
2.8	0	12	36	78	33	78	34	69	48	64	36	60	35	64
2.9	0	12	35	78	33	78	34	69	48	64	36	60	35	72
3.0	0	12	35	78	33	78	34	69	48	64	36	60	35	72
3.1	0	13	35	78	33	78	34	69	48	64	36	60	35	72
3.2	0	13	35	78	33	78	34	69	48	64	36	60	35	75
