0.1 	47
0.2 	45
0.3 	42
0.4 	40
0.5 	38
0.6 	37
0.7 	37
0.8 	36
0.9 	36
1.0 	36
1.1 	36
1.2 	36
1.3 	36
1.4 	36
1.5 	36
1.6 	36
1.7 	36
1.8 	36
1.9 	36
2.0 	36
2.1 	35
2.2 	35
2.3 	35
2.4 	35
2.5 	35
2.6 	35
2.7 	35
2.8 	35
2.9 	35
3.0 	35
3.1 	34
3.2 	34
3.3 	34
3.4 	34
3.5 	34
3.6 	34
3.7 	34
3.8 	34
3.9 	34
4.0 	34
4.1 	33
4.2 	33
4.3 	33
4.4 	33
4.5 	33
4.6 	33
4.7 	32
4.8 	32
4.9 	32
5.0 	32
5.1 	32
5.2 	32
5.3 	32
5.4 	31
5.5 	31
5.6 	31
5.7 	31
5.8 	31
5.9 	31
6.0 	31
6.1 	31
6.2 	31
6.3 	31
6.4 	31
6.5 	31
6.6 	31
6.7 	31
6.8 	31
6.9 	31
7.0 	31
7.1 	31
7.2 	31
7.3 	31
7.4 	31
7.5 	31
7.6 	31
7.7 	31
7.8 	31
7.9 	31
8.0 	31
8.1 	30
8.2 	30
8.3 	30
8.4 	30
8.5 	29
8.6 	29
8.7 	29
8.8 	29
8.9 	28
9.0 	28
9.1 	28
9.2 	28
9.3 	28
9.4 	27
9.5 	27
9.6 	27
9.7 	27
9.8 	26
9.9 	26
10.0 	26
10.1 	26
10.2 	26
10.3 	25
10.4 	25
10.5 	25
10.6 	25
10.7 	24
10.8 	24
10.9 	24
11.0 	24
11.1 	24
11.2 	23
11.3 	23
11.4 	23
11.5 	23
11.6 	22
11.7 	22
11.8 	22
11.9 	22
12.0 	22
12.1 	21
12.2 	21
12.3 	21
12.4 	21
12.5 	20
12.6 	20
12.7 	20
12.8 	20
12.9 	19
13.0 	19
13.1 	19
13.2 	19
13.3 	19
13.4 	18
13.5 	18
13.6 	18
13.7 	18
13.8 	17
13.9 	17
14.0 	17
14.1 	17
14.2 	17
14.3 	16
14.4 	16
14.5 	16
14.6 	16
14.7 	15
14.8 	15
14.9 	15
15.0 	15
15.1 	15
15.2 	14
15.3 	14
15.4 	14
15.5 	14
15.6 	13
15.7 	13
15.8 	13
15.9 	13
16.0 	13
16.1 	12
16.2 	12
16.3 	12
16.4 	12
16.5 	12
16.6 	12
16.7 	12
16.8 	12
16.9 	12
17.0 	12
17.1 	12
17.2 	12
17.3 	12
17.4 	12
17.5 	12
17.6 	12
17.7 	12
17.8 	12
17.9 	12
18.0 	12
18.1 	11
18.2 	11
18.3 	11
18.4 	11
18.5 	11
18.6 	11
18.7 	11
18.8 	11
18.9 	11
19.0 	11
19.1 	11
19.2 	11
19.3 	11
19.4 	11
19.5 	11
19.6 	11
19.7 	11
19.8 	11
19.9 	11
20.0 	11
20.1 	10
20.2 	10
20.3 	10
20.4 	10
20.5 	10
20.6 	10
20.7 	10
20.8 	10
20.9 	10
21.0 	10
21.1 	10
21.2 	10
21.3 	10
21.4 	10
21.5 	10
21.6 	10
21.7 	10
21.8 	10
21.9 	10
22.0 	10
22.1 	9
22.2 	9
22.3 	9
22.4 	9
22.5 	9
22.6 	9
22.7 	9
22.8 	9
22.9 	9
23.0 	9
23.1 	9
23.2 	9
23.3 	9
23.4 	9
23.5 	9
23.6 	9
23.7 	9
23.8 	9
23.9 	9
24.0 	9
24.1 	9
24.2 	9
24.3 	9
24.4 	9
24.5 	9
24.6 	9
24.7 	9
24.8 	9
24.9 	9
25.0 	9
25.1 	9
25.2 	9
25.3 	9
25.4 	9
25.5 	9
25.6 	9
25.7 	9
25.8 	9
25.9 	9
26.0 	9
26.1 	9
26.2 	9
26.3 	9
26.4 	9
26.5 	9
26.6 	9
26.7 	9
26.8 	9
26.9 	9
27.0 	9
27.1 	9
27.2 	9
27.3 	9
27.4 	9
27.5 	9
27.6 	9
27.7 	9
27.8 	9
27.9 	9
28.0 	9
28.1 	9
28.2 	9
28.3 	9
28.4 	9
28.5 	9
28.6 	9
28.7 	9
28.8 	9
28.9 	9
29.0 	9
29.1 	9
29.2 	9
29.3 	9
29.4 	9
29.5 	9
29.6 	9
29.7 	9
29.8 	9
29.9 	9
30.0 	9
30.1 	9
30.2 	9
30.3 	9
30.4 	9
30.5 	9
30.6 	9
30.7 	9
30.8 	9
30.9 	9
31.0 	9
31.1 	9
31.2 	9
31.3 	9
31.4 	9
31.5 	9
31.6 	9
31.7 	9
31.8 	9
31.9 	9
32.0 	9
