0.1 	52
0.2 	53
0.3 	54
0.4 	55
0.5 	56
0.6 	57
0.7 	57
0.8 	57
0.9 	57
1.0 	57
1.1 	58
1.2 	58
1.3 	59
1.4 	59
1.5 	59
1.6 	60
1.7 	60
1.8 	61
1.9 	61
2.0 	61
2.1 	62
2.2 	62
2.3 	62
2.4 	62
2.5 	62
2.6 	62
2.7 	63
2.8 	63
2.9 	63
3.0 	63
3.1 	63
3.2 	63
3.3 	63
3.4 	64
3.5 	64
3.6 	64
3.7 	64
3.8 	64
3.9 	64
4.0 	64
4.1 	65
4.2 	65
4.3 	66
4.4 	66
4.5 	66
4.6 	67
4.7 	67
4.8 	67
4.9 	68
5.0 	68
5.1 	68
5.2 	69
5.3 	69
5.4 	69
5.5 	70
5.6 	70
5.7 	70
5.8 	71
5.9 	71
6.0 	71
6.1 	73
6.2 	74
6.3 	75
6.4 	77
6.5 	78
6.6 	79
6.7 	81
6.8 	82
6.9 	83
7.0 	84
7.1 	86
7.2 	87
7.3 	88
7.4 	90
7.5 	91
7.6 	92
7.7 	94
7.8 	95
7.9 	96
8.0 	97
8.1 	98
8.2 	98
8.3 	98
8.4 	98
8.5 	98
8.6 	99
8.7 	99
8.8 	99
8.9 	99
9.0 	99
9.1 	100
9.2 	100
9.3 	100
9.4 	100
9.5 	100
9.6 	101
9.7 	101
9.8 	101
9.9 	101
10.0 	101
10.1 	102
10.2 	102
10.3 	102
10.4 	102
10.5 	102
10.6 	103
10.7 	103
10.8 	103
10.9 	103
11.0 	103
11.1 	104
11.2 	104
11.3 	104
11.4 	104
11.5 	104
11.6 	105
11.7 	105
11.8 	105
11.9 	105
12.0 	105
12.1 	106
12.2 	106
12.3 	106
12.4 	106
12.5 	106
12.6 	107
12.7 	107
12.8 	107
12.9 	107
13.0 	107
13.1 	108
13.2 	108
13.3 	108
13.4 	108
13.5 	108
13.6 	109
13.7 	109
13.8 	109
13.9 	109
14.0 	109
14.1 	110
14.2 	110
14.3 	110
14.4 	110
14.5 	110
14.6 	111
14.7 	111
14.8 	111
14.9 	111
15.0 	111
15.1 	112
15.2 	112
15.3 	112
15.4 	112
15.5 	112
15.6 	113
15.7 	113
15.8 	113
15.9 	113
16.0 	113
16.1 	114
16.2 	114
16.3 	114
16.4 	114
16.5 	114
16.6 	114
16.7 	114
16.8 	114
16.9 	115
17.0 	115
17.1 	115
17.2 	115
17.3 	115
17.4 	115
17.5 	115
17.6 	115
17.7 	115
17.8 	116
17.9 	116
18.0 	116
18.1 	116
18.2 	116
18.3 	116
18.4 	116
18.5 	116
18.6 	116
18.7 	117
18.8 	117
18.9 	117
19.0 	117
19.1 	117
19.2 	117
19.3 	117
19.4 	117
19.5 	117
19.6 	118
19.7 	118
19.8 	118
19.9 	118
20.0 	118
20.1 	118
20.2 	118
20.3 	118
20.4 	118
20.5 	119
20.6 	119
20.7 	119
20.8 	119
20.9 	119
21.0 	119
21.1 	119
21.2 	119
21.3 	119
21.4 	120
21.5 	120
21.6 	120
21.7 	120
21.8 	120
21.9 	120
22.0 	120
22.1 	120
22.2 	120
22.3 	121
22.4 	121
22.5 	121
22.6 	121
22.7 	121
22.8 	121
22.9 	121
23.0 	121
23.1 	121
23.2 	122
23.3 	122
23.4 	122
23.5 	122
23.6 	122
23.7 	122
23.8 	122
23.9 	122
24.0 	122
24.1 	123
24.2 	123
24.3 	123
24.4 	123
24.5 	123
24.6 	123
24.7 	123
24.8 	123
24.9 	123
25.0 	123
25.1 	123
25.2 	123
25.3 	123
25.4 	123
25.5 	123
25.6 	123
25.7 	123
25.8 	123
25.9 	123
26.0 	123
26.1 	123
26.2 	123
26.3 	123
26.4 	123
26.5 	123
26.6 	123
26.7 	123
26.8 	123
26.9 	123
27.0 	123
27.1 	123
27.2 	123
27.3 	123
27.4 	123
27.5 	123
27.6 	123
27.7 	123
27.8 	123
27.9 	123
28.0 	123
28.1 	123
28.2 	123
28.3 	123
28.4 	123
28.5 	123
28.6 	123
28.7 	123
28.8 	123
28.9 	123
29.0 	123
29.1 	123
29.2 	123
29.3 	123
29.4 	123
29.5 	123
29.6 	123
29.7 	123
29.8 	123
29.9 	123
30.0 	123
30.1 	123
30.2 	123
30.3 	123
30.4 	123
30.5 	123
30.6 	123
30.7 	123
30.8 	123
30.9 	123
31.0 	123
31.1 	123
31.2 	123
31.3 	123
31.4 	123
31.5 	123
31.6 	123
31.7 	123
31.8 	123
31.9 	123
32.0 	123
